Date,Open,High,Low,Close
09/22/2023,"66,215.04","66,445.47","65,952.83","66,009.15"
09/21/2023,"66,608.67","66,608.67","66,128.71","66,230.24"
09/20/2023,"67,080.18","67,294.16","66,728.14","66,800.84"
09/18/2023,"67,665.58","67,803.15","67,532.83","67,596.84"
09/15/2023,"67,659.91","67,927.23","67,614.42","67,838.63"
09/14/2023,"67,627.03","67,771.05","67,336.46","67,519.00"
09/13/2023,"67,188.64","67,565.41","67,053.36","67,466.99"
09/12/2023,"67,506.88","67,539.10","66,948.18","67,221.13"
09/11/2023,"66,807.73","67,172.13","66,735.84","67,127.08"
09/08/2023,"66,381.43","66,766.92","66,299.30","66,598.91"
09/07/2023,"65,854.25","66,296.90","65,672.34","66,265.56"
09/06/2023,"65,744.19","65,971.13","65,488.03","65,880.52"
09/05/2023,"65,671.60","65,831.70","65,601.47","65,780.26"
09/04/2023,"65,525.91","65,683.91","65,285.56","65,628.14"
09/01/2023,"64,855.51","65,473.27","64,818.37","65,387.16"
08/31/2023,"65,178.33","65,277.04","64,723.63","64,831.41"
08/30/2023,"65,311.58","65,458.70","65,052.74","65,087.25"
08/29/2023,"65,201.35","65,229.03","64,956.67","65,075.82"
08/28/2023,"64,908.08","65,213.45","64,776.92","64,996.60"
08/25/2023,"65,000.67","65,106.00","64,732.57","64,886.51"
08/24/2023,"65,722.51","65,913.77","65,181.94","65,252.34"
08/23/2023,"65,300.93","65,504.71","65,108.51","65,433.30"
