Date, Open, High, Low, Close
09/25/23, 4029.14, 4029.14, 4029.14, 4029.14
09/22/23, 4044.73, 4044.73, 4044.73, 4044.73
09/21/23, 4057.64, 4057.64, 4057.64, 4057.64
09/20/23, 4116.98, 4116.98, 4116.98, 4116.98
09/19/23, 4122.59, 4122.59, 4122.59, 4122.59
09/18/23, 4119.78, 4119.78, 4119.78, 4119.78
09/15/23, 4137.41, 4137.41, 4137.41, 4137.41
09/14/23, 4149.86, 4149.86, 4149.86, 4149.86
09/13/23, 4104.27, 4104.27, 4104.27, 4104.27
09/12/23, 4104.42, 4104.42, 4104.42, 4104.42
09/11/23, 4110.43, 4110.43, 4110.43, 4110.43
09/08/23, 4076.66, 4076.66, 4076.66, 4076.66
09/07/23, 4078.71, 4078.71, 4078.71, 4078.71
09/06/23, 4092.55, 4092.55, 4092.55, 4092.55
09/05/23, 4111.22, 4111.22, 4111.22, 4111.22
09/04/23, 4145.25, 4145.25, 4145.25, 4145.25
09/01/23, 4140.63, 4140.63, 4140.63, 4140.63
08/31/23, 4130.83, 4130.83, 4130.83, 4130.83
08/30/23, 4143.56, 4143.56, 4143.56, 4143.56
08/29/23, 4126.08, 4126.08, 4126.08, 4126.08
08/28/23, 4083.80, 4083.80, 4083.80, 4083.80
08/25/23, 4043.51, 4043.51, 4043.51, 4043.51
08/24/23, 4050.21, 4050.21, 4050.21, 4050.21
08/23/23, 4074.64, 4074.64, 4074.64, 4074.64
08/22/23, 4042.01, 4042.01, 4042.01, 4042.01
08/21/23, 4037.81, 4037.81, 4037.81, 4037.81
08/18/23, 4035.30, 4035.30, 4035.30, 4035.30
08/17/23, 4046.14, 4046.14, 4046.14, 4046.14
08/16/23, 4071.53, 4071.53, 4071.53, 4071.53
08/15/23, 4108.27, 4108.27, 4108.27, 4108.27
08/14/23, 4141.49, 4141.49, 4141.49, 4141.49
08/11/23, 4156.20, 4156.20, 4156.20, 4156.20
08/10/23, 4177.64, 4177.64, 4177.64, 4177.64
08/09/23, 4155.91, 4155.91, 4155.91, 4155.91
08/08/23, 4158.31, 4158.31, 4158.31, 4158.31
08/07/23, 4189.63, 4189.63, 4189.63, 4189.63
08/04/23, 4165.77, 4165.77, 4165.77, 4165.77
08/03/23, 4146.47, 4146.47, 4146.47, 4146.47
08/02/23, 4165.13, 4165.13, 4165.13, 4165.13
08/01/23, 4232.72, 4232.72, 4232.72, 4232.72
07/31/23, 4262.33, 4262.33, 4262.33, 4262.33
07/28/23, 4249.73, 4249.73, 4249.73, 4249.73
07/27/23, 4224.39, 4224.39, 4224.39, 4224.39
07/26/23, 4235.97, 4235.97, 4235.97, 4235.97
07/25/23, 4227.24, 4227.24, 4227.24, 4227.24
07/24/23, 4215.37, 4215.37, 4215.37, 4215.37
07/21/23, 4200.29, 4200.29, 4200.29, 4200.29
07/20/23, 4210.75, 4210.75, 4210.75, 4210.75
07/19/23, 4211.91, 4211.91, 4211.91, 4211.91
07/18/23, 4204.50, 4204.50, 4204.50, 4204.50
07/17/23, 4173.46, 4173.46, 4173.46, 4173.46
07/14/23, 4175.58, 4175.58, 4175.58, 4175.58
07/13/23, 4191.32, 4191.32, 4191.32, 4191.32
07/12/23, 4150.78, 4150.78, 4150.78, 4150.78
07/11/23, 4095.80, 4095.80, 4095.80, 4095.80
07/10/23, 4056.04, 4056.04, 4056.04, 4056.04
07/07/23, 4041.91, 4041.91, 4041.91, 4041.91
07/06/23, 4028.26, 4028.26, 4028.26, 4028.26
07/05/23, 4098.16, 4098.16, 4098.16, 4098.16
07/04/23, 4119.89, 4119.89, 4119.89, 4119.89
07/03/23, 4125.30, 4125.30, 4125.30, 4125.30
06/30/23, 4102.98, 4102.98, 4102.98, 4102.98
06/29/23, 4064.69, 4064.69, 4064.69, 4064.69
