Date, Open, High, Low, Close
09/25/23, 3405.21, 3413.85, 3387.28, 3388.03
09/22/23, 3381.34, 3408.11, 3371.18, 3405.92
09/21/23, 3438.07, 3439.75, 3392.09, 3403.71
09/20/23, 3476.93, 3477.08, 3442.14, 3450.94
09/19/23, 3484.88, 3487.70, 3463.40, 3481.57
09/18/23, 3513.87, 3514.07, 3487.55, 3489.59
09/15/23, 3498.08, 3535.12, 3497.35, 3513.29
09/14/23, 3471.26, 3501.44, 3465.12, 3489.32
09/13/23, 3470.25, 3473.51, 3447.54, 3458.83
09/12/23, 3466.96, 3479.59, 3452.81, 3469.57
09/11/23, 3447.34, 3466.12, 3426.74, 3458.45
09/08/23, 3444.23, 3456.06, 3431.37, 3434.11
09/07/23, 3474.81, 3476.02, 3445.53, 3454.29
09/06/23, 3481.66, 3491.44, 3464.29, 3481.51
09/05/23, 3505.57, 3510.83, 3472.29, 3473.82
09/04/23, 3476.92, 3511.19, 3476.92, 3506.09
09/01/23, 3455.32, 3495.69, 3455.32, 3471.26
08/31/23, 3441.00, 3460.94, 3441.00, 3456.24
08/30/23, 3435.27, 3460.90, 3431.27, 3442.89
08/29/23, 3410.23, 3424.40, 3402.71, 3418.86
08/28/23, 3371.36, 3421.00, 3371.36, 3401.71
08/25/23, 3385.18, 3390.35, 3354.25, 3355.26
08/24/23, 3402.84, 3429.50, 3399.04, 3414.49
08/23/23, 3351.74, 3396.34, 3351.74, 3393.02
08/22/23, 3341.61, 3370.69, 3339.69, 3361.71
08/21/23, 3363.25, 3366.36, 3325.57, 3327.14
08/18/23, 3368.68, 3386.78, 3353.58, 3363.21
08/17/23, 3368.81, 3387.72, 3328.87, 3380.19
08/16/23, 3427.03, 3427.66, 3384.80, 3388.87
08/15/23, 3465.30, 3467.13, 3441.58, 3454.08
08/14/23, 3494.56, 3494.98, 3442.36, 3451.31
08/11/23, 3503.22, 3513.42, 3491.78, 3495.35
08/10/23, 3503.81, 3531.22, 3491.33, 3513.09
08/09/23, 3521.14, 3523.81, 3499.63, 3503.14
08/08/23, 3561.28, 3564.12, 3519.16, 3522.84
08/07/23, 3556.09, 3565.32, 3547.95, 3556.00
08/04/23, 3533.82, 3572.99, 3532.26, 3567.17
08/03/23, 3551.66, 3555.33, 3530.27, 3544.08
08/02/23, 3628.93, 3637.14, 3563.94, 3567.32
08/01/23, 3646.73, 3661.95, 3637.11, 3641.61
07/31/23, 3630.34, 3666.50, 3630.15, 3647.90
07/28/23, 3627.95, 3642.91, 3594.64, 3623.99
07/27/23, 3601.75, 3648.29, 3599.43, 3617.35
07/26/23, 3609.56, 3612.04, 3584.45, 3607.69
07/25/23, 3552.34, 3604.31, 3545.65, 3603.24
07/24/23, 3568.86, 3572.04, 3539.98, 3556.94
07/21/23, 3580.89, 3588.70, 3552.54, 3556.25
07/20/23, 3603.34, 3624.44, 3578.29, 3580.95
07/19/23, 3612.90, 3621.08, 3594.50, 3608.49
07/18/23, 3604.64, 3625.05, 3593.87, 3602.07
07/17/23, 3603.18, 3615.09, 3595.10, 3601.36
07/14/23, 3620.53, 3637.01, 3598.68, 3608.68
07/13/23, 3541.90, 3611.81, 3541.65, 3608.58
07/12/23, 3502.40, 3535.98, 3489.67, 3532.69
07/11/23, 3484.10, 3504.76, 3479.92, 3493.54
07/10/23, 3471.42, 3485.32, 3452.28, 3469.02
07/07/23, 3475.71, 3476.05, 3446.76, 3471.86
07/06/23, 3540.96, 3543.18, 3476.40, 3484.79
07/05/23, 3561.35, 3572.34, 3547.29, 3554.34
07/04/23, 3581.24, 3586.29, 3552.95, 3572.22
07/03/23, 3537.56, 3599.38, 3536.93, 3592.71
06/30/23, 3525.12, 3530.59, 3502.22, 3526.25
06/29/23, 3545.62, 3561.80, 3528.55, 3534.91
06/28/23, 3520.92, 3549.65, 3518.97, 3538.13
06/27/23, 3505.31, 3520.04, 3482.94, 3508.11
06/26/23, 3505.94, 3518.97, 3495.66, 3503.01
06/23/23, 3587.76, 3589.05, 3507.33, 3511.26
06/22/23, 3605.37, 3613.78, 3577.29, 3580.36
06/21/23, 3611.64, 3624.52, 3593.22, 3599.90
06/20/23, 3619.09, 3631.83, 3603.38, 3622.32
06/19/23, 3651.74, 3651.74, 3612.34, 3628.90
06/16/23, 3644.36, 3667.24, 3626.93, 3651.34
06/15/23, 3631.20, 3642.87, 3609.63, 3638.11
06/14/23, 3606.33, 3645.79, 3604.76, 3642.70
06/13/23, 3559.53, 3614.98, 3559.53, 3602.18
06/12/23, 3538.47, 3558.20, 3533.41, 3549.83
06/09/23, 3500.32, 3534.57, 3499.22, 3530.02
06/08/23, 3490.32, 3492.32, 3459.46, 3488.59
06/07/23, 3522.61, 3529.30, 3488.49, 3490.70
